symbol,date,time,open,high,low,close,volume
TSLA,2026-02-10,09:51:00,421.46,422.18,420.88,422.0392,195929
TSLA,2026-02-10,09:52:00,422.01,422.34,421.0318,421.5799,190728
TSLA,2026-02-10,09:53:00,421.535,421.8899,421.066,421.5401,114494
TSLA,2026-02-10,09:54:00,421.595,421.9999,421.1687,421.83,106571
TSLA,2026-02-10,09:55:00,421.89,422.9,421.3,422.845,211538
TSLA,2026-02-10,09:56:00,422.845,423.5,422.6475,423.23,244495
TSLA,2026-02-10,09:57:00,423.2,423.57,422.81,423.5611,169590
TSLA,2026-02-10,09:58:00,423.555,423.97,422.92,423.0508,189008
TSLA,2026-02-10,09:59:00,423.0712,423.0983,422.28,422.32,165890
TSLA,2026-02-11,09:30:00,427.955,431.1725,427.955,431.0633,780209
TSLA,2026-02-11,09:31:00,431.1069,432.65,430.19,430.987,524911
TSLA,2026-02-11,09:32:00,430.96,433.11,430.0501,433.01,367628
TSLA,2026-02-11,09:33:00,433.05,435.63,432.53,435.52,643031
TSLA,2026-02-11,09:34:00,435.52,435.84,433.43,434.25,593575
TSLA,2026-02-11,09:35:00,434.24,435.6599,433.86,435.21,466746
TSLA,2026-02-11,09:36:00,435.165,436.35,434.2,434.425,565483
TSLA,2026-02-11,09:37:00,434.3449,434.97,433.72,434.77,386817
TSLA,2026-02-11,09:38:00,434.79,434.85,432.35,432.7499,435638
TSLA,2026-02-11,09:39:00,432.72,433.29,432.28,433.04,295507
TSLA,2026-02-11,09:40:00,433.01,434.44,432.67,434.17,318754
TSLA,2026-02-11,09:41:00,434.13,434.97,433.05,434.9599,311771
TSLA,2026-02-11,09:42:00,434.96,435.53,433.5,433.72,379759
TSLA,2026-02-11,09:43:00,433.6501,434.76,433.615,434.53,167430
TSLA,2026-02-11,09:44:00,434.56,435,434.23,434.725,189387
TSLA,2026-02-11,09:45:00,434.764,435.01,434.03,434.6946,221827
TSLA,2026-02-11,09:46:00,434.705,435.7113,434.11,434.515,310376
TSLA,2026-02-11,09:47:00,434.505,434.86,433.95,434.26,194814
TSLA,2026-02-11,09:48:00,434.27,435.88,434,435.7289,268615
TSLA,2026-02-11,09:49:00,435.67,435.8799,434.7101,435.115,237980
TSLA,2026-02-11,09:50:00,435.125,435.43,433.64,433.79,280687
TSLA,2026-02-11,09:51:00,433.81,435.26,433.68,434.62,203012
TSLA,2026-02-11,09:52:00,434.62,434.86,433.33,433.85,193691
TSLA,2026-02-11,09:53:00,433.87,433.97,433.08,433.485,163876
TSLA,2026-02-11,09:54:00,433.4989,433.66,433.02,433.4,144590
TSLA,2026-02-11,09:55:00,433.4,434,433.13,433.62,171060
TSLA,2026-02-11,09:56:00,433.59,433.7,432.36,432.61,292655
TSLA,2026-02-11,09:57:00,432.66,432.6716,431.51,432.24,281316
TSLA,2026-02-11,09:58:00,432.195,432.2899,431.16,431.18,214710
TSLA,2026-02-11,09:59:00,431.21,431.631,430.92,431.32,223920
TSLA,2026-02-12,09:30:00,430.3,433.9,429.71,433.685,737281
TSLA,2026-02-12,09:31:00,433.695,434.42,431.06,433.475,505096
TSLA,2026-02-12,09:32:00,433.505,434.1294,432.115,433.36,352902
TSLA,2026-02-12,09:33:00,433.34,433.85,432.43,433.63,255441
TSLA,2026-02-12,09:34:00,433.605,434.85,432.81,433.3801,415667
TSLA,2026-02-12,09:35:00,433.53,434.96,433.37,434.0751,334729
TSLA,2026-02-12,09:36:00,434,434.99,433.92,434.9564,346662
TSLA,2026-02-12,09:37:00,434.9098,435.89,434.85,435.58,514562
TSLA,2026-02-12,09:38:00,435.6,436.23,433.89,433.96,569927
TSLA,2026-02-12,09:39:00,433.9667,434.58,433.7,434.27,248695
TSLA,2026-02-12,09:40:00,434.27,434.8799,433.92,434.3399,239592
TSLA,2026-02-12,09:41:00,434.33,435.41,434.2735,434.67,271267
TSLA,2026-02-12,09:42:00,434.72,435.69,434.6,434.77,301266
TSLA,2026-02-12,09:43:00,434.83,434.99,433.92,434.8,272432
TSLA,2026-02-12,09:44:00,434.8111,434.87,433.652,434.03,249801
TSLA,2026-02-12,09:45:00,434.06,434.6211,431.55,431.6799,400160
TSLA,2026-02-12,09:46:00,431.6599,431.6599,430.6205,430.93,283475
TSLA,2026-02-12,09:47:00,430.96,431.28,430.55,430.7747,245751
TSLA,2026-02-12,09:48:00,430.775,431.51,430.5,431.2,220224
TSLA,2026-02-12,09:49:00,431.2,431.6999,429.86,430.2195,297918
TSLA,2026-02-12,09:50:00,430.2,430.22,429.45,429.755,304285
TSLA,2026-02-12,09:51:00,429.7551,429.7799,428.74,429.125,293258
TSLA,2026-02-12,09:52:00,429.16,429.94,429.02,429.929,243331
TSLA,2026-02-12,09:53:00,429.94,430.3799,429.35,429.4901,248875
TSLA,2026-02-12,09:54:00,429.5994,430.52,429.47,430.205,177581
TSLA,2026-02-12,09:55:00,430.17,430.31,429.31,429.5103,171023
TSLA,2026-02-12,09:56:00,429.545,429.6,428.33,428.4,219247
TSLA,2026-02-12,09:57:00,428.37,429.2,428.3,428.95,174624
TSLA,2026-02-12,09:58:00,429,429.4999,428.53,429.145,138012
TSLA,2026-02-12,09:59:00,429.12,429.19,428.14,428.65,195311
TSLA,2026-02-13,09:30:00,414.305,415.61,412.41,414.86,738435
TSLA,2026-02-13,09:31:00,414.7799,415.93,413.01,414.2,315836
TSLA,2026-02-13,09:32:00,414.255,417.19,413.5,417.18,321481
TSLA,2026-02-13,09:33:00,417.13,417.7,415.2,415.7525,279530
TSLA,2026-02-13,09:34:00,415.6,416.44,414.39,414.715,222096
TSLA,2026-02-13,09:35:00,414.6501,415.21,413.51,415.1034,270922
TSLA,2026-02-13,09:36:00,415.0987,415.45,414.26,415.16,184059
TSLA,2026-02-13,09:37:00,415.135,416.66,414.28,414.489,230115
